Simulation time: 2247.54 ms
Variable u[244] changes: 1
Variable u[245] changes: 1
Variable u[246] changes: 1
Variable u[247] changes: 1
Variable u[248] changes: 1
Variable u[249] changes: 1
Variable u[250] changes: 1
Variable u[251] changes: 1
Variable u[252] changes: 1
Variable u[253] changes: 1
Variable u[254] changes: 1
Variable u[255] changes: 1
Variable u[256] changes: 1
Variable u[257] changes: 1
Variable u[258] changes: 1
Variable u[259] changes: 1
Variable u[260] changes: 1
Variable u[261] changes: 1
Variable u[262] changes: 1
Variable u[263] changes: 1
Variable u[264] changes: 1
Variable u[265] changes: 1
Variable u[266] changes: 1
Variable u[267] changes: 1
Variable u[268] changes: 1
Variable u[269] changes: 1
Variable u[270] changes: 1
Variable u[271] changes: 1
Variable u[272] changes: 1
Variable u[273] changes: 1
Variable u[274] changes: 1
Variable u[275] changes: 1
Variable u[276] changes: 1
Variable u[277] changes: 1
Variable u[278] changes: 1
Variable u[279] changes: 1
Variable u[280] changes: 1
Variable u[281] changes: 1
Variable u[282] changes: 1
Variable u[283] changes: 1
Variable u[284] changes: 1
Variable u[285] changes: 1
Variable u[286] changes: 1
Variable u[287] changes: 1
Variable u[288] changes: 1
Variable u[289] changes: 1
Variable u[290] changes: 1
Variable u[291] changes: 1
Variable u[292] changes: 1
Variable u[293] changes: 1
Variable u[294] changes: 1
Variable u[295] changes: 1
Variable u[296] changes: 1
Variable u[297] changes: 1
Variable u[298] changes: 1
Variable u[299] changes: 1
Variable u[300] changes: 1
Variable u[301] changes: 1
Variable u[302] changes: 1
Variable u[303] changes: 1
Variable u[304] changes: 1
Variable u[305] changes: 1
Variable u[306] changes: 1
Variable u[307] changes: 1
Variable u[308] changes: 1
Variable u[309] changes: 1
Variable u[310] changes: 1
Variable u[311] changes: 1
Variable u[312] changes: 1
Variable u[313] changes: 1
Variable u[314] changes: 1
Variable u[315] changes: 1
Variable u[316] changes: 1
Variable u[317] changes: 1
Variable u[318] changes: 1
Variable u[319] changes: 1
Variable u[320] changes: 1
Variable u[321] changes: 1
Variable u[322] changes: 1
Variable u[323] changes: 1
Variable u[324] changes: 1
Variable u[325] changes: 1
Variable u[326] changes: 1
Variable u[327] changes: 1
Variable u[328] changes: 1
Variable u[329] changes: 26
Variable u[330] changes: 76
Variable u[331] changes: 130
Variable u[332] changes: 187
Variable u[333] changes: 2276
Variable u[334] changes: 937
Variable u[335] changes: 927
Variable u[336] changes: 980
Variable u[337] changes: 1005
Variable u[338] changes: 1018
Variable u[339] changes: 995
Variable u[340] changes: 931
Variable u[341] changes: 866
Variable u[342] changes: 835
Variable u[343] changes: 840
Variable u[344] changes: 837
Variable u[345] changes: 836
Variable u[346] changes: 835
Variable u[347] changes: 833
Variable u[348] changes: 831
Variable u[349] changes: 834
Variable u[350] changes: 835
Variable u[351] changes: 834
Variable u[352] changes: 842
Variable u[353] changes: 866
Variable u[354] changes: 886
Variable u[355] changes: 906
Variable u[356] changes: 933
Variable u[357] changes: 1031
Variable u[358] changes: 1140
Variable u[359] changes: 1158
Variable u[360] changes: 1131
Variable u[361] changes: 1107
Variable u[362] changes: 1072
Variable u[363] changes: 1060
Variable u[364] changes: 1058
Variable u[365] changes: 1048
Variable u[366] changes: 1024
Variable u[367] changes: 974
Variable u[368] changes: 951
Variable u[369] changes: 949
Variable u[370] changes: 967
Variable u[371] changes: 1043
Variable u[372] changes: 1083
Variable u[373] changes: 1099
Variable u[374] changes: 1055
Variable u[375] changes: 939
Variable u[376] changes: 861
Variable u[377] changes: 852
Variable u[378] changes: 854
Variable u[379] changes: 856
Variable u[380] changes: 855
Variable u[381] changes: 863
Variable u[382] changes: 873
Variable u[383] changes: 861
Variable u[384] changes: 852
Variable u[385] changes: 851
Variable u[386] changes: 850
Variable u[387] changes: 871
Variable u[388] changes: 942
Variable u[389] changes: 940
Variable u[390] changes: 974
Variable u[391] changes: 994
Variable u[392] changes: 1020
Variable u[393] changes: 1069
Variable u[394] changes: 1073
Variable u[395] changes: 1059
Variable u[396] changes: 1037
Variable u[397] changes: 965
Variable u[398] changes: 941
Variable u[399] changes: 967
Variable u[400] changes: 977
Variable u[401] changes: 980
Variable u[402] changes: 952
Variable u[403] changes: 949
Variable u[404] changes: 972
Variable u[405] changes: 970
Variable u[406] changes: 968
Variable u[407] changes: 1012
Variable u[408] changes: 1051
Variable u[409] changes: 1036
Variable u[410] changes: 1006
Variable u[411] changes: 1077
Variable u[412] changes: 1104
Variable u[413] changes: 1056
Variable u[414] changes: 991
Variable u[415] changes: 966
Variable u[416] changes: 949
Variable u[417] changes: 919
Variable u[418] changes: 955
Variable u[419] changes: 980
Variable u[420] changes: 1008
Variable u[421] changes: 1030
Variable u[422] changes: 1015
Variable u[423] changes: 957
Variable u[424] changes: 900
Variable u[425] changes: 891
Variable u[426] changes: 877
Variable u[427] changes: 885
Variable u[428] changes: 893
Variable u[429] changes: 903
Variable u[430] changes: 898
Variable u[431] changes: 873
Variable u[432] changes: 856
Variable u[433] changes: 861
Variable u[434] changes: 870
Variable u[435] changes: 878
Variable u[436] changes: 882
Variable u[437] changes: 903
Variable u[438] changes: 920
Variable u[439] changes: 935
Variable u[440] changes: 949
Variable u[441] changes: 923
Variable u[442] changes: 904
Variable u[443] changes: 895
Variable u[444] changes: 869
Variable u[445] changes: 842
Variable u[446] changes: 855
Variable u[447] changes: 847
Variable u[448] changes: 871
Variable u[449] changes: 888
Variable u[450] changes: 887
Variable u[451] changes: 860
Variable u[452] changes: 840
Variable u[453] changes: 877
Variable u[454] changes: 889
Variable u[455] changes: 890
Variable u[456] changes: 924
Variable u[457] changes: 948
Variable u[458] changes: 952
Variable u[459] changes: 982
Variable u[460] changes: 1036
Variable u[461] changes: 1083
Variable u[462] changes: 1138
Variable u[463] changes: 1187
Variable u[464] changes: 1167
Variable u[465] changes: 1144
Variable u[466] changes: 1130
Variable u[467] changes: 1102
Variable u[468] changes: 1080
Variable u[469] changes: 1088
Variable u[470] changes: 1030
Variable u[471] changes: 994
Variable u[472] changes: 960
Variable u[473] changes: 931
Variable u[474] changes: 920
Variable u[475] changes: 920
Variable u[476] changes: 927
Variable u[477] changes: 942
Variable u[478] changes: 943
Variable u[479] changes: 926
Variable u[480] changes: 920
Variable u[481] changes: 917
Variable u[482] changes: 915
Variable u[483] changes: 924
Variable u[484] changes: 976
Variable u[485] changes: 1026
Variable u[486] changes: 1055
Variable u[487] changes: 1051
Variable u[488] changes: 1023
Variable u[489] changes: 992
Variable u[490] changes: 966
Variable u[491] changes: 937
Variable u[492] changes: 935
Variable u[493] changes: 966
Variable u[494] changes: 991
Variable u[495] changes: 1010
Variable u[496] changes: 996
Variable u[497] changes: 988
Variable u[498] changes: 954
Variable u[499] changes: 909
Variable u[500] changes: 882
Variable u[501] changes: 867
Variable u[502] changes: 887
Variable u[503] changes: 920
Variable u[504] changes: 999
Variable u[505] changes: 1023
Variable u[506] changes: 1061
Variable u[507] changes: 1186
Variable u[508] changes: 1297
Variable u[509] changes: 1394
Variable u[510] changes: 1365
Variable u[511] changes: 1325
Variable u[512] changes: 1230
Variable u[513] changes: 1120
Variable u[514] changes: 1100
Variable u[515] changes: 1050
Variable u[516] changes: 1067
Variable u[517] changes: 1142
Variable u[518] changes: 1167
Variable u[519] changes: 1185
Variable u[520] changes: 1218
Variable u[521] changes: 1218
Variable u[522] changes: 1253
Variable u[523] changes: 1199
Variable u[524] changes: 1130
Variable u[525] changes: 1088
Variable u[526] changes: 1108
Variable u[527] changes: 1209
Variable u[528] changes: 1275
Variable u[529] changes: 1317
Variable u[530] changes: 1339
Variable u[531] changes: 1396
Variable u[532] changes: 1359
Variable u[533] changes: 1274
Variable u[534] changes: 1182
Variable u[535] changes: 1055
Variable u[536] changes: 1029
Variable u[537] changes: 1018
Variable u[538] changes: 983
Variable u[539] changes: 938
Variable u[540] changes: 926
Variable u[541] changes: 920
Variable u[542] changes: 913
Variable u[543] changes: 969
Variable u[544] changes: 1009
Variable u[545] changes: 1032
Variable u[546] changes: 1050
Variable u[547] changes: 1092
Variable u[548] changes: 1042
Variable u[549] changes: 1016
Variable u[550] changes: 1064
Variable u[551] changes: 1078
Variable u[552] changes: 1073
Variable u[553] changes: 1077
Variable u[554] changes: 1077
Variable u[555] changes: 1055
Variable u[556] changes: 1030
Variable u[557] changes: 1092
Variable u[558] changes: 1117
Variable u[559] changes: 1099
Variable u[560] changes: 1065
Variable u[561] changes: 1005
Variable u[562] changes: 932
Variable u[563] changes: 875
Variable u[564] changes: 855
Variable u[565] changes: 852
Variable u[566] changes: 850
Variable u[567] changes: 859
Variable u[568] changes: 861
Variable u[569] changes: 862
Variable u[570] changes: 861
Variable u[571] changes: 878
Variable u[572] changes: 892
Variable u[573] changes: 881
Variable u[574] changes: 878
Variable u[575] changes: 907
Variable u[576] changes: 967
Variable u[577] changes: 999
Variable u[578] changes: 1034
Variable u[579] changes: 1047
Variable u[580] changes: 1019
Variable u[581] changes: 961
Variable u[582] changes: 897
Variable u[583] changes: 901
Variable u[584] changes: 924
Variable u[585] changes: 914
