Simulation time: 56.4112 ms
Variable u[654] changes: 189
Variable u[655] changes: 186
Variable u[656] changes: 218
Variable u[657] changes: 210
Variable u[658] changes: 148
Variable u[659] changes: 116
Variable u[660] changes: 123
Variable u[661] changes: 113
Variable u[662] changes: 127
Variable u[663] changes: 137
Variable u[664] changes: 147
Variable u[665] changes: 158
Variable u[666] changes: 169
Variable u[667] changes: 158
Variable u[668] changes: 151
Variable u[669] changes: 188
Variable u[670] changes: 201
Variable u[671] changes: 198
Variable u[672] changes: 176
Variable u[673] changes: 158
Variable u[674] changes: 190
Variable u[675] changes: 192
Variable u[676] changes: 122
Variable u[677] changes: 117
Variable u[678] changes: 130
Variable u[679] changes: 154
Variable u[680] changes: 186
Variable u[681] changes: 207
Variable u[682] changes: 171
Variable u[683] changes: 151
Variable u[684] changes: 169
Variable u[685] changes: 175
Variable u[686] changes: 180
Variable u[687] changes: 165
Variable u[688] changes: 177
Variable u[689] changes: 186
Variable u[690] changes: 169
Variable u[691] changes: 160
Variable u[692] changes: 139
Variable u[693] changes: 118
Variable u[694] changes: 109
Variable u[695] changes: 102
Variable u[696] changes: 125
Variable u[697] changes: 138
Variable u[698] changes: 155
Variable u[699] changes: 186
Variable u[700] changes: 187
Variable u[701] changes: 141
Variable u[702] changes: 117
Variable u[703] changes: 92
Variable u[704] changes: 92
Variable u[705] changes: 86
Variable u[706] changes: 79
Variable u[707] changes: 78
Variable u[708] changes: 82
Variable u[709] changes: 85
Variable u[710] changes: 112
Variable u[711] changes: 148
Variable u[712] changes: 152
Variable u[713] changes: 173
Variable u[714] changes: 165
Variable u[715] changes: 188
Variable u[716] changes: 197
Variable u[717] changes: 193
Variable u[718] changes: 176
Variable u[719] changes: 161
Variable u[720] changes: 192
Variable u[721] changes: 203
Variable u[722] changes: 164
Variable u[723] changes: 144
Variable u[724] changes: 132
Variable u[725] changes: 125
Variable u[726] changes: 135
Variable u[727] changes: 138
Variable u[728] changes: 128
Variable u[729] changes: 139
Variable u[730] changes: 193
Variable u[731] changes: 204
Variable u[732] changes: 179
Variable u[733] changes: 162
Variable u[734] changes: 163
Variable u[735] changes: 152
Variable u[736] changes: 170
Variable u[737] changes: 201
Variable u[738] changes: 212
Variable u[739] changes: 205
Variable u[740] changes: 192
Variable u[741] changes: 221
Variable u[742] changes: 211
Variable u[743] changes: 187
Variable u[744] changes: 182
Variable u[745] changes: 186
Variable u[746] changes: 172
Variable u[747] changes: 176
Variable u[748] changes: 180
Variable u[749] changes: 181
Variable u[750] changes: 181
Variable u[751] changes: 181
Variable u[752] changes: 184
Variable u[753] changes: 165
Variable u[754] changes: 167
Variable u[755] changes: 153
Variable u[756] changes: 149
Variable u[757] changes: 162
Variable u[758] changes: 161
Variable u[759] changes: 168
Variable u[760] changes: 175
Variable u[761] changes: 185
Variable u[762] changes: 164
Variable u[763] changes: 153
Variable u[764] changes: 181
Variable u[765] changes: 125
Variable u[766] changes: 111
Variable u[767] changes: 133
Variable u[768] changes: 136
Variable u[769] changes: 151
Variable u[770] changes: 143
Variable u[771] changes: 137
Variable u[772] changes: 131
Variable u[773] changes: 140
Variable u[774] changes: 174
Variable u[775] changes: 159
Variable u[776] changes: 123
Variable u[777] changes: 101
Variable u[778] changes: 89
Variable u[779] changes: 90
Variable u[780] changes: 100
Variable u[781] changes: 129
Variable u[782] changes: 132
Variable u[783] changes: 115
Variable u[784] changes: 126
Variable u[785] changes: 116
Variable u[786] changes: 133
